date,close
2023-01-03,29.66
2023-01-04,30.92
2023-01-05,30.65
2023-01-06,31.56
2023-01-09,31.26
2023-01-10,31.84
2023-01-11,31.57
2023-01-12,32.18
2023-01-13,32.65
2023-01-17,31.52
2023-01-18,31.21
2023-01-19,32.02
2023-01-20,32.42
2023-01-23,32.4
2023-01-24,32.73
2023-01-25,33.27
2023-01-26,32.76
2023-01-27,32.31
2023-01-30,31.83
2023-01-31,32.02
2023-02-01,32.74
2023-02-02,31.72
2023-02-03,30.32
2023-02-06,30.21
2023-02-07,30.63
2023-02-08,30.37
2023-02-09,29.76
2023-02-10,29.62
2023-02-13,29.58
2023-02-14,29.64
2023-02-15,28.79
2023-02-16,28.67
2023-02-17,28.41
2023-02-21,28.11
2023-02-22,27.45
2023-02-23,27.31
2023-02-24,26.99
2023-02-27,27.2
2023-02-28,27.51
2023-03-01,28.11
2023-03-02,28.17
2023-03-03,28.63
2023-03-06,28.08
2023-03-07,26.89
2023-03-08,26.81
2023-03-09,26.68
2023-03-10,27.2
2023-03-13,29.1
2023-03-14,29.33
2023-03-15,29.33
2023-03-16,29.16
2023-03-17,30.58
2023-03-20,31.11
2023-03-21,30.0
2023-03-22,30.56
2023-03-23,31.31
2023-03-24,31.55
2023-03-27,31.52
2023-03-28,32.31
2023-03-29,32.04
2023-03-30,32.52
2023-03-31,32.35
2023-04-03,33.08
2023-04-04,34.19
2023-04-05,34.34
2023-04-06,34.43
2023-04-10,33.99
2023-04-11,34.58
2023-04-12,34.92
2023-04-13,35.87
2023-04-14,35.09
2023-04-17,34.3
2023-04-18,34.55
2023-04-19,34.08
2023-04-20,34.06
2023-04-21,33.61
2023-04-24,33.71
2023-04-25,33.77
2023-04-26,33.33
2023-04-27,33.85
2023-04-28,33.58
2023-05-01,33.41
2023-05-02,34.74
2023-05-03,34.86
2023-05-04,35.69
2023-05-05,35.4
2023-05-08,35.36
2023-05-09,35.25
2023-05-10,35.0
2023-05-11,33.52
2023-05-12,33.6
2023-05-15,33.91
2023-05-16,33.01
2023-05-17,32.73
2023-05-18,31.88
2023-05-19,32.16
2023-05-22,31.87
2023-05-23,31.65
2023-05-24,30.92
2023-05-25,30.26
2023-05-26,30.41
2023-05-30,30.2
2023-05-31,30.91
2023-06-01,32.01
2023-06-02,31.41
2023-06-05,31.56
2023-06-06,31.63
2023-06-07,31.05
2023-06-08,31.54
2023-06-09,31.08
2023-06-12,31.24
2023-06-13,30.89
2023-06-14,30.87
2023-06-15,31.0
2023-06-16,31.39
2023-06-20,30.14
2023-06-21,30.06
2023-06-22,29.85
2023-06-23,29.79
2023-06-26,30.07
2023-06-27,29.65
2023-06-28,29.22
2023-06-29,29.62
2023-06-30,30.11
2023-07-03,30.69
2023-07-05,29.83
2023-07-06,29.07
2023-07-07,29.45
2023-07-10,30.04
2023-07-11,30.24
2023-07-12,31.82
2023-07-13,32.19
2023-07-14,31.96
2023-07-17,31.97
2023-07-18,32.63
2023-07-19,32.36
2023-07-20,31.39
2023-07-21,31.49
2023-07-24,31.29
2023-07-25,31.78
2023-07-26,31.65
2023-07-27,30.35
2023-07-28,30.72
2023-07-31,31.41
2023-08-01,30.23
2023-08-02,29.28
2023-08-03,29.28
2023-08-04,29.56
2023-08-07,29.33
2023-08-08,29.08
2023-08-09,29.13
2023-08-10,29.17
2023-08-11,29.46
2023-08-14,28.95
2023-08-15,28.21
2023-08-16,27.83
2023-08-17,27.61
2023-08-18,27.45
2023-08-21,27.71
2023-08-22,27.95
2023-08-23,28.74
2023-08-24,28.68
2023-08-25,28.4
2023-08-28,29.0
2023-08-29,29.53
2023-08-30,29.52
2023-08-31,29.26
2023-09-01,29.09
2023-09-05,28.49
2023-09-06,28.47
2023-09-07,28.28
2023-09-08,28.34
2023-09-11,28.77
2023-09-12,28.79
2023-09-13,28.72
2023-09-14,29.11
2023-09-15,29.72
2023-09-18,29.75
2023-09-19,29.4
2023-09-20,29.71
2023-09-21,28.91
2023-09-22,28.87
2023-09-25,28.51
2023-09-26,27.74
2023-09-27,26.91
2023-09-28,27.05
2023-09-29,26.91
2023-10-02,25.99
2023-10-03,26.07
2023-10-04,25.91
2023-10-05,26.32
2023-10-06,26.89
2023-10-09,27.54
2023-10-10,27.81
2023-10-11,28.32
2023-10-12,27.74
2023-10-13,28.95
2023-10-16,29.0
2023-10-17,29.53
2023-10-18,29.45
2023-10-19,29.51
2023-10-20,29.48
2023-10-23,29.24
2023-10-24,29.26
2023-10-25,28.78
2023-10-26,28.52
2023-10-27,29.2
2023-10-30,28.77
2023-10-31,28.01
2023-11-01,28.11
2023-11-02,28.26
2023-11-03,29.47
2023-11-06,29.15
2023-11-07,28.59
2023-11-08,27.69
2023-11-09,27.59
2023-11-10,27.25
2023-11-13,27.04
2023-11-14,28.33
2023-11-15,28.19
2023-11-16,28.61
2023-11-17,28.43
2023-11-20,28.51
2023-11-21,29.21
2023-11-22,29.25
2023-11-24,29.32
2023-11-27,29.79
2023-11-28,31.22
2023-11-29,31.2
2023-11-30,31.32
2023-12-01,31.81
2023-12-04,31.02
2023-12-05,30.48
2023-12-06,30.42
2023-12-07,30.32
2023-12-08,29.68
2023-12-11,29.55
2023-12-12,28.86
2023-12-13,30.7
2023-12-14,31.31
2023-12-15,30.95
2023-12-18,30.73
2023-12-19,31.55
2023-12-20,30.78
2023-12-21,31.35
2023-12-22,31.56
2023-12-26,31.67
2023-12-27,31.98
2023-12-28,31.17
2023-12-29,31.01
