date,close
2024-01-02,30.56
2024-01-03,29.76
2024-01-04,29.77
2024-01-05,29.77
2024-01-08,29.7
2024-01-09,29.17
2024-01-10,29.11
2024-01-11,28.89
2024-01-12,29.7
2024-01-16,28.39
2024-01-17,27.51
2024-01-18,27.59
2024-01-19,27.69
2024-01-22,27.6
2024-01-23,28.23
2024-01-24,27.7
2024-01-25,28.25
2024-01-26,28.07
2024-01-29,28.36
2024-01-30,28.15
2024-01-31,27.94
2024-02-01,29.03
2024-02-02,28.02
2024-02-05,27.36
2024-02-06,27.72
2024-02-07,27.46
2024-02-08,27.3
2024-02-09,26.97
2024-02-12,27.29
2024-02-13,25.89
2024-02-14,26.01
2024-02-15,26.77
2024-02-16,26.86
2024-02-20,26.99
2024-02-21,26.82
2024-02-22,26.16
2024-02-23,26.66
2024-02-26,26.25
2024-02-27,26.03
2024-02-28,25.78
2024-02-29,26.36
2024-03-01,27.33
2024-03-04,28.51
2024-03-05,28.66
2024-03-06,29.16
2024-03-07,29.61
2024-03-08,29.64
2024-03-11,30.13
2024-03-12,29.58
2024-03-13,30.29
2024-03-14,29.89
2024-03-15,29.89
2024-03-18,29.74
2024-03-19,29.06
2024-03-20,30.26
2024-03-21,29.96
2024-03-22,29.6
2024-03-25,29.83
2024-03-26,29.85
2024-03-27,30.96
2024-03-28,31.62
2024-04-01,32.03
2024-04-02,32.44
2024-04-03,33.14
2024-04-04,32.78
2024-04-05,33.84
2024-04-08,33.6
2024-04-09,34.18
2024-04-10,33.68
2024-04-11,34.45
2024-04-12,33.76
2024-04-15,33.53
2024-04-16,33.03
2024-04-17,33.55
2024-04-18,33.75
2024-04-19,34.07
2024-04-22,32.53
2024-04-23,33.05
2024-04-24,33.12
2024-04-25,34.33
2024-04-26,34.58
2024-04-29,34.77
2024-04-30,33.13
2024-05-01,33.32
2024-05-02,33.58
2024-05-03,33.44
2024-05-06,34.21
2024-05-07,34.17
2024-05-08,34.16
2024-05-09,35.36
2024-05-10,35.25
2024-05-13,34.95
2024-05-14,35.4
2024-05-15,35.91
2024-05-16,35.66
2024-05-17,36.87
2024-05-20,37.24
2024-05-21,36.93
2024-05-22,35.45
2024-05-23,34.75
2024-05-24,35.26
2024-05-28,36.1
2024-05-29,35.19
2024-05-30,35.56
2024-05-31,35.3
2024-06-03,35.51
2024-06-04,34.18
2024-06-05,34.79
2024-06-06,36.01
2024-06-07,33.54
2024-06-10,34.03
2024-06-11,33.75
2024-06-12,34.0
2024-06-13,33.15
2024-06-14,33.41
2024-06-17,33.2
2024-06-18,33.7
2024-06-20,34.55
2024-06-21,33.99
2024-06-24,34.25
2024-06-25,33.84
2024-06-26,33.82
2024-06-27,34.23
2024-06-28,33.93
2024-07-01,33.89
2024-07-02,34.02
2024-07-03,35.28
2024-07-05,36.27
2024-07-08,36.1
2024-07-09,36.11
2024-07-10,37.05
2024-07-11,38.09
2024-07-12,38.17
2024-07-15,37.95
2024-07-16,39.28
2024-07-17,38.44
2024-07-18,37.87
2024-07-19,37.39
2024-07-22,37.45
2024-07-23,37.45
2024-07-24,37.23
2024-07-25,36.19
2024-07-26,36.48
2024-07-29,36.64
2024-07-30,36.95
2024-07-31,37.93
2024-08-01,37.27
2024-08-02,36.48
2024-08-05,35.34
2024-08-06,35.63
2024-08-07,34.71
2024-08-08,35.55
2024-08-09,35.84
2024-08-12,36.9
2024-08-13,37.38
2024-08-14,37.11
2024-08-15,37.29
2024-08-16,38.49
2024-08-19,39.22
2024-08-20,39.5
2024-08-21,39.77
2024-08-22,38.78
2024-08-23,39.34
2024-08-26,39.23
2024-08-27,39.22
2024-08-28,38.36
2024-08-29,38.88
2024-08-30,38.62
2024-09-03,37.27
2024-09-04,36.91
2024-09-05,37.33
2024-09-06,36.32
2024-09-09,36.76
2024-09-10,37.22
2024-09-11,37.39
2024-09-12,39.21
2024-09-13,40.09
2024-09-16,39.89
2024-09-17,39.49
2024-09-18,39.06
2024-09-19,39.72
2024-09-20,40.51
2024-09-23,40.33
2024-09-24,41.41
2024-09-25,41.31
2024-09-26,41.64
2024-09-27,40.36
2024-09-30,39.82
2024-10-01,40.45
2024-10-02,40.37
2024-10-03,39.56
2024-10-04,39.55
2024-10-07,39.03
2024-10-08,38.99
2024-10-09,38.79
2024-10-10,39.87
2024-10-11,40.05
2024-10-14,40.16
2024-10-15,40.68
2024-10-16,41.0
2024-10-17,41.49
2024-10-18,43.15
2024-10-21,43.22
2024-10-22,44.09
2024-10-23,43.26
2024-10-24,42.13
2024-10-25,41.56
2024-10-28,41.36
2024-10-29,42.02
2024-10-30,41.51
2024-10-31,40.34
2024-11-01,39.85
2024-11-04,39.9
2024-11-05,40.11
2024-11-06,38.64
2024-11-07,39.57
2024-11-08,39.02
2024-11-11,36.73
2024-11-12,36.11
2024-11-13,35.56
2024-11-14,35.72
2024-11-15,35.51
2024-11-18,37.02
2024-11-19,37.88
2024-11-20,37.72
2024-11-21,38.14
2024-11-22,38.28
2024-11-25,37.14
2024-11-26,37.29
2024-11-27,37.45
2024-11-29,37.66
2024-12-02,36.83
2024-12-03,37.7
2024-12-04,37.6
2024-12-05,37.53
2024-12-06,36.82
2024-12-09,37.91
2024-12-10,37.98
2024-12-11,39.09
2024-12-12,37.66
2024-12-13,36.65
2024-12-16,36.42
2024-12-17,36.19
2024-12-18,34.53
2024-12-19,34.39
2024-12-20,34.73
2024-12-23,34.41
2024-12-24,34.41
2024-12-26,34.47
2024-12-27,34.26
2024-12-30,33.77
2024-12-31,33.91
